,Application mode,Course,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target_Graduate
916,12,17,1,0,28,5,10,0,0,5,5,0,0,0
917,12,3,1,0,37,6,0,0,0,6,0,0,0,0
918,15,4,1,0,43,6,8,6,14,6,9,6,15,1
919,12,3,1,1,41,6,10,5,12,6,6,6,12,1
920,12,3,1,1,29,6,11,4,11,6,9,5,10,1
921,12,3,1,1,35,6,8,6,10,6,7,6,11,1
922,8,10,1,0,18,6,8,4,11,6,8,4,12,0
923,12,12,0,1,39,7,14,3,11,7,9,2,10,0
924,12,17,1,0,37,5,14,2,10,5,7,3,11,0
925,12,12,1,1,26,7,7,6,13,7,7,6,13,1
926,4,6,1,0,32,5,8,1,14,5,12,0,0,0
927,12,3,1,0,37,8,12,7,11,7,10,6,12,0
928,12,6,1,0,28,6,17,0,0,6,6,0,0,0
929,1,10,1,0,19,6,10,0,0,6,0,0,0,0
930,1,9,1,0,18,5,9,1,11,5,9,2,12,0
931,1,16,1,1,19,7,10,6,13,7,7,7,13,1
932,4,14,1,0,32,11,15,8,13,8,10,8,15,1
933,12,9,1,0,31,5,8,3,11,5,9,2,11,0
934,12,12,1,0,34,8,11,7,11,8,11,7,11,0
935,1,2,1,0,20,12,12,12,13,11,14,11,14,1
936,12,12,1,0,28,7,15,1,10,7,10,1,10,0
937,15,17,1,0,31,6,8,6,12,7,8,7,13,0
938,1,15,1,0,18,6,7,6,12,6,8,4,12,0
939,12,3,0,0,31,6,8,5,11,6,9,3,11,0
940,1,15,1,0,19,6,6,6,13,6,8,5,12,1
941,1,10,1,1,19,6,8,6,14,6,8,6,12,1
942,12,10,1,0,31,6,11,0,0,5,10,0,0,0
943,4,6,1,0,34,6,0,0,0,6,0,0,0,0
944,7,13,1,1,18,7,7,7,15,8,8,8,16,1
945,8,11,1,0,18,6,6,6,13,6,6,6,12,1
946,1,9,1,0,19,5,7,5,13,5,11,5,12,1
947,8,15,0,1,22,4,8,0,0,4,8,0,0,0
948,14,14,1,0,32,10,12,10,11,9,9,4,11,1
949,12,9,1,0,61,5,0,0,0,5,0,0,0,0
950,12,17,1,0,30,5,7,5,11,5,5,5,11,1
951,12,17,0,0,45,5,9,0,0,5,11,0,0,0
952,15,4,1,0,20,6,7,6,13,6,6,6,12,1
953,9,12,1,0,19,7,0,0,0,8,0,0,0,0
954,13,7,1,0,26,10,14,4,11,11,11,4,12,0
955,8,14,1,0,19,5,6,3,13,5,5,1,11,0
956,8,15,1,1,19,6,6,6,12,6,7,6,11,1
957,1,15,1,0,19,6,6,6,12,6,7,5,13,1
958,1,9,1,1,19,5,6,5,13,5,6,5,12,1
959,1,14,0,0,19,5,5,0,0,4,4,0,0,0
960,12,14,0,0,28,5,7,3,11,5,8,2,11,0
961,14,9,1,0,24,15,16,15,13,14,14,14,13,1
962,1,8,1,0,18,5,7,3,13,5,5,5,13,1
963,1,7,1,0,18,5,9,2,11,5,9,2,12,0
964,1,15,1,1,18,6,7,6,11,6,12,5,10,1
965,15,4,1,0,21,6,9,5,13,6,9,5,12,1
966,12,17,0,0,28,5,5,0,0,5,6,0,0,0
967,12,4,1,0,58,6,9,0,0,6,6,0,0,0
968,12,17,0,0,49,5,5,0,0,5,5,0,0,0
969,12,7,1,0,24,5,6,3,10,5,9,2,10,0
970,14,14,1,0,25,5,5,4,13,5,5,4,14,1
971,13,9,1,0,33,5,5,1,10,5,5,0,0,0
972,12,7,0,0,33,5,11,0,0,5,5,0,0,0
973,14,16,1,0,40,2,4,1,16,4,5,4,15,1
974,12,17,1,0,48,5,9,5,12,5,8,5,11,1
975,8,7,0,0,18,5,10,3,12,5,8,3,10,0
976,12,12,1,0,24,7,7,6,12,7,7,6,12,1
977,1,6,1,1,23,5,6,5,11,5,7,4,13,1
978,12,17,0,0,39,5,6,5,10,5,7,5,14,0
979,9,4,1,0,21,11,16,9,11,9,14,8,12,1
980,13,7,1,0,34,6,8,4,11,5,8,2,10,0
981,12,17,1,1,41,5,9,4,11,5,6,5,11,0
982,1,15,1,0,18,6,6,6,12,6,6,6,12,1
983,12,17,1,0,34,5,10,4,11,5,10,4,10,0
984,1,9,1,0,19,5,8,2,10,5,8,1,16,0
985,1,12,1,0,19,8,8,7,13,8,8,7,13,1
986,4,4,1,0,28,6,14,6,14,6,12,6,15,1
987,8,5,1,0,18,6,7,5,10,6,6,0,0,0
988,1,10,1,0,19,6,11,3,12,6,12,2,10,0
989,8,6,0,0,19,6,10,5,12,6,19,2,13,0
990,8,12,1,0,18,7,7,7,14,8,11,8,16,1
991,1,8,1,0,18,6,8,6,12,6,8,5,14,1
992,1,15,1,0,18,6,8,6,11,6,7,6,11,0
993,15,10,1,0,19,6,6,6,14,6,6,6,13,1
994,4,10,1,0,31,6,12,5,12,6,10,5,14,1
995,12,3,1,1,33,6,6,6,14,6,6,6,14,1
996,1,12,1,1,20,7,10,5,14,7,8,6,13,0
997,15,6,1,0,22,6,12,5,12,6,19,2,11,0
998,8,11,1,0,19,6,8,6,12,6,8,5,13,1
999,1,5,1,0,18,6,6,6,12,6,6,6,13,0
1000,8,5,1,0,18,6,0,0,0,6,0,0,0,0
1001,1,14,0,0,18,6,0,0,0,6,0,0,0,0
1002,1,2,1,0,18,0,0,0,0,0,0,0,0,1
1003,8,9,1,1,19,5,8,5,11,5,5,3,11,1
1004,8,10,1,0,18,6,6,6,16,6,7,6,17,0
1005,8,6,1,0,18,5,9,3,13,5,5,5,12,1
1006,8,12,1,1,18,8,8,7,15,8,8,7,15,1
1007,17,10,1,0,21,9,10,9,12,9,9,9,13,1
1008,1,12,1,1,18,8,8,7,14,8,8,7,14,1
1009,8,14,1,0,18,6,8,6,13,6,7,6,13,1
1010,1,12,1,0,18,7,10,7,13,8,13,6,13,1
1011,8,12,1,0,20,7,9,6,11,8,10,7,12,1
1012,8,9,1,1,18,5,5,5,14,5,8,5,12,1
1013,1,15,1,0,18,6,0,0,0,6,0,0,0,0
1014,9,9,1,1,20,5,6,5,11,5,6,5,11,1
1015,8,11,1,0,20,6,6,6,12,6,6,6,12,1
1016,8,9,1,1,19,5,5,4,11,5,5,0,0,0
1017,16,5,1,1,19,11,11,11,13,11,11,11,12,1
1018,8,14,0,1,18,6,6,1,11,6,0,0,0,0
1019,8,15,1,1,19,6,6,6,11,6,7,6,12,1
1020,1,12,1,1,20,8,8,8,12,8,8,8,12,1
1021,15,9,1,0,21,7,10,6,11,5,6,5,11,1
1022,14,12,1,0,21,8,12,6,11,8,12,6,11,1
1023,8,5,1,0,20,6,6,6,14,6,7,6,13,1
1024,9,16,1,0,19,7,7,7,13,7,8,7,12,1
1025,8,6,0,0,21,5,8,2,11,5,7,2,10,0
1026,1,6,1,0,18,5,6,5,14,5,7,5,11,1
1027,1,11,1,1,19,6,8,5,11,6,7,5,12,1
1028,8,12,1,0,18,7,8,7,13,8,8,8,14,1
1029,1,12,1,1,19,8,8,7,13,8,8,7,13,1
1030,1,9,1,1,18,5,13,3,10,5,12,3,10,1
1031,1,16,1,1,18,6,11,4,12,6,8,4,10,0
1032,1,15,1,0,18,6,7,6,13,6,7,6,14,1
1033,8,6,1,1,18,5,7,4,13,5,8,5,15,1
1034,8,5,1,0,18,6,6,2,13,6,6,0,0,0
1035,1,5,1,1,18,6,6,6,14,6,7,6,14,0
1036,8,10,1,0,18,6,0,0,0,6,0,0,0,0
1037,1,10,1,0,18,6,6,6,14,6,6,6,13,1
1038,13,6,1,1,20,2,2,2,12,6,11,6,12,1
1039,1,16,1,0,18,6,9,5,12,6,10,5,10,0
1040,8,5,1,0,18,6,8,5,11,6,7,5,10,1
1041,9,12,1,1,20,8,8,7,12,8,8,7,12,1
1042,14,14,1,0,40,8,8,8,11,7,12,5,11,1
1043,1,12,1,1,18,7,11,6,11,8,11,7,12,1
1044,1,11,1,0,19,6,9,5,11,6,12,5,12,1
1045,4,17,1,0,24,5,5,0,0,5,6,0,0,0
1046,1,15,1,0,19,6,8,6,13,6,7,6,13,0
1047,1,12,1,0,19,8,8,7,14,8,8,7,14,1
1048,1,12,1,1,20,7,8,6,12,8,9,7,12,1
1049,1,12,1,0,18,7,7,7,15,8,8,8,16,1
1050,1,2,1,1,18,0,0,0,0,0,0,0,0,1
1051,8,12,1,0,19,7,8,7,14,8,8,8,15,1
1052,8,12,1,0,18,7,8,7,14,8,8,8,15,0
1053,15,6,1,0,19,6,10,6,13,6,19,5,13,1
1054,1,12,1,1,19,7,8,7,14,8,8,8,15,1
1055,1,12,1,1,19,7,7,7,13,8,9,7,14,1
1056,1,12,1,1,19,7,7,7,12,8,9,7,12,0
1057,1,12,1,0,19,7,7,6,14,7,7,6,14,1
1058,12,14,0,0,25,5,5,5,11,5,5,4,11,0
1059,1,12,1,0,20,8,8,7,12,8,8,7,12,1
1060,17,10,0,0,23,9,12,7,13,9,14,4,13,0
1061,1,5,1,0,20,6,0,0,0,6,0,0,0,0
1062,12,3,1,0,27,6,8,5,11,6,7,6,11,1
1063,1,12,1,0,18,8,8,8,14,8,8,8,14,1
1064,1,16,1,0,18,6,9,5,13,6,10,4,11,0
1065,4,3,0,0,23,12,12,11,14,10,11,8,14,0
1066,1,12,1,1,19,7,7,6,13,7,7,6,13,1
1067,1,9,1,0,18,5,8,5,12,5,7,5,11,1
1068,14,12,1,0,20,7,8,7,13,8,8,8,14,1
1069,1,14,1,0,18,6,9,4,13,6,10,5,12,1
1070,1,12,1,1,19,8,8,8,14,8,8,8,14,1
1071,15,10,1,1,19,6,7,6,13,6,6,6,14,1
1072,1,16,1,0,19,6,9,4,12,6,9,5,12,0
1073,1,6,1,0,18,5,6,4,13,5,8,5,14,1
1074,1,10,1,0,18,6,11,5,12,6,7,6,13,1
1075,1,15,1,0,18,6,6,6,13,6,6,6,12,1
1076,2,16,0,0,28,11,11,11,11,8,8,8,12,0
1077,8,11,1,0,19,6,8,4,12,6,11,1,14,0
1078,14,2,1,0,20,0,0,0,0,0,0,0,0,0
1079,1,12,1,1,19,7,8,6,13,8,9,7,13,1
1080,1,5,1,1,20,6,6,6,13,6,6,6,12,1
1081,1,11,1,1,19,6,9,5,13,6,8,5,11,1
1082,16,5,1,0,21,6,7,5,12,6,7,4,12,0
1083,1,16,1,1,19,7,7,7,13,7,7,7,14,1
1084,1,5,1,1,18,6,8,6,12,6,8,6,12,1
1085,8,8,1,0,19,6,0,0,0,6,0,0,0,0
1086,8,14,1,1,19,6,6,6,13,6,9,6,13,1
1087,1,15,1,0,20,6,6,5,11,6,6,6,13,1
1088,8,16,1,0,18,7,11,5,11,7,9,6,13,0
1089,14,2,1,0,18,0,0,0,0,0,0,0,0,0
1090,8,8,1,0,18,5,7,4,12,5,6,5,12,1
1091,8,15,1,0,18,6,6,0,0,6,0,0,0,0
1092,8,10,1,0,18,6,14,5,11,6,6,6,11,1
1093,9,15,1,0,20,6,12,5,12,6,8,6,11,0
1094,8,12,1,1,19,7,7,7,13,8,10,8,12,1
1095,1,16,0,0,21,6,8,3,13,6,7,3,10,0
1096,8,14,0,0,20,6,6,0,0,6,9,0,0,0
1097,1,11,1,0,18,6,10,5,12,6,8,4,11,1
1098,1,15,1,1,20,6,7,6,12,6,6,6,12,1
1099,1,12,1,1,19,8,8,8,14,8,8,8,14,1
1100,1,6,1,0,22,5,14,4,14,5,9,5,13,0
1101,8,8,0,0,22,6,0,0,0,2,2,0,0,0
1102,1,16,1,0,18,6,10,3,12,6,8,4,10,0
1103,14,9,1,0,21,10,18,6,11,10,16,7,10,0
1104,1,10,1,0,19,6,12,2,13,6,8,5,11,1
1105,1,2,1,0,19,0,0,0,0,0,0,0,0,0
1106,1,12,1,1,20,8,8,7,14,8,8,7,14,0
1107,1,12,1,1,18,7,8,7,12,8,9,8,12,1
1108,16,17,0,0,22,12,12,7,11,5,5,5,10,0
1109,8,6,1,0,20,5,7,4,12,5,9,5,12,1
1110,15,4,1,0,19,6,7,6,12,6,7,6,12,1
1111,1,12,1,1,19,7,8,7,12,8,10,7,13,1
1112,1,12,1,1,20,7,10,5,12,7,8,6,12,0
1113,12,17,1,0,25,5,11,3,10,5,11,3,11,0
1114,1,12,1,1,19,7,12,6,13,8,10,7,14,1
1115,9,12,1,0,19,8,8,8,13,8,8,8,13,1
1116,1,5,0,0,19,5,5,0,0,6,0,0,0,0
1117,1,12,1,0,20,7,9,6,12,8,8,7,13,1
1118,12,13,1,0,25,7,11,7,11,8,21,5,11,0
1119,8,12,1,1,20,7,7,6,12,7,7,6,12,1
1120,12,10,1,0,24,6,9,4,15,6,10,5,16,0
1121,1,14,1,0,20,5,6,5,13,5,6,5,13,1
1122,13,12,1,0,21,7,9,7,14,8,8,8,13,1
1123,15,4,1,1,19,6,8,6,13,6,11,5,13,1
1124,1,15,1,1,19,6,6,6,12,6,6,6,13,1
1125,1,14,1,1,21,5,5,5,13,5,5,4,13,1
1126,12,12,1,0,28,7,9,7,17,8,9,8,16,1
1127,1,10,0,1,19,6,8,5,10,6,8,5,11,1
1128,1,9,1,1,18,5,5,5,14,5,6,5,13,1
1129,8,12,1,1,18,8,8,7,12,8,8,7,12,1
1130,1,12,1,1,18,8,8,8,13,8,8,8,13,1
1131,13,12,1,0,22,8,8,7,13,8,8,7,13,1
1132,1,9,1,0,19,5,9,4,11,5,8,3,10,0
1133,1,12,1,1,18,7,7,7,14,8,8,8,15,1
1134,8,11,0,0,20,6,0,0,0,6,0,0,0,0
1135,15,2,0,0,26,9,9,4,11,10,12,3,11,0
1136,1,5,1,1,18,6,6,6,14,6,8,6,13,1
1137,1,11,1,1,21,6,8,6,12,6,11,3,11,0
1138,8,12,1,0,18,8,8,7,13,8,8,7,13,1
1139,1,6,1,0,20,6,14,6,13,6,9,6,14,1
1140,1,12,1,0,18,7,11,7,13,8,13,7,12,1
1141,8,9,1,1,19,5,5,5,12,5,8,3,11,0
1142,1,14,1,0,20,5,5,4,15,5,5,4,13,0
1143,1,16,1,1,18,6,6,6,13,6,7,6,12,1
1144,7,9,1,1,20,5,8,3,12,5,9,4,12,0
1145,1,3,1,0,22,6,7,5,13,6,9,5,12,1
1146,1,2,1,0,18,0,0,0,0,0,0,0,0,0
1147,16,17,1,0,21,5,9,4,11,5,5,5,11,1
1148,9,16,1,0,18,7,12,6,12,7,11,6,12,0
1149,1,12,1,0,18,8,8,7,13,8,8,7,13,1
1150,1,5,1,1,18,6,6,6,12,6,8,6,11,1
1151,8,2,1,0,19,0,0,0,0,0,0,0,0,0
1152,8,9,1,0,19,5,7,3,10,5,11,3,14,0
1153,1,12,1,0,19,7,10,5,12,7,7,5,13,0
1154,1,12,1,0,19,8,11,7,13,8,11,7,13,1
1155,1,9,1,0,19,5,9,4,12,5,10,4,12,0
1156,8,11,0,0,19,6,9,3,11,6,15,1,10,0
1157,7,11,1,1,21,6,7,6,13,6,6,6,12,1
1158,1,15,1,1,20,6,9,5,11,6,9,5,11,1
1159,1,9,1,1,20,5,7,5,14,5,7,5,13,1
1160,12,17,1,0,41,5,8,5,11,5,6,5,11,1
1161,4,12,1,0,32,7,16,4,13,7,8,7,12,0
1162,8,12,1,0,18,8,8,7,14,8,8,7,14,1
1163,12,3,1,1,35,6,9,6,11,6,6,6,11,1
1164,12,12,0,0,32,7,12,4,13,7,7,0,0,0
1165,12,3,1,0,37,11,11,11,13,8,8,8,14,1
1166,12,9,1,0,30,7,9,7,11,8,12,7,11,0
1167,14,15,1,0,23,6,9,6,12,6,11,5,13,1
1168,8,15,1,1,20,6,6,6,14,6,7,6,13,0
1169,1,14,1,0,21,5,7,4,11,5,6,4,11,1
1170,1,9,1,0,19,5,6,5,11,5,5,5,13,1
1171,8,12,1,1,18,8,8,7,15,8,8,7,15,1
1172,13,7,1,0,18,5,6,1,10,5,7,1,12,0
1173,12,17,1,0,24,5,5,4,12,5,6,5,12,0
1174,9,14,1,0,22,6,11,4,13,6,11,4,12,1
1175,8,11,1,0,18,6,7,4,11,6,7,3,11,0
1176,7,10,1,0,18,6,8,6,13,6,11,5,12,1
1177,1,5,1,0,21,6,7,5,14,6,6,5,14,1
1178,12,12,1,0,38,7,13,3,11,7,14,2,10,0
1179,9,13,1,1,19,7,11,7,12,8,11,8,12,1
1180,12,12,1,0,36,7,12,4,11,7,14,3,12,0
1181,7,6,1,0,18,5,8,4,13,5,10,4,10,1
1182,1,12,1,0,19,7,9,7,12,8,12,6,11,1
1183,17,6,0,0,21,10,15,8,13,9,17,5,13,0
1184,1,12,1,0,19,7,10,6,13,8,11,6,11,0
1185,1,10,1,1,18,6,11,5,11,6,8,6,12,1
1186,4,12,1,0,45,11,11,11,12,10,12,10,12,0
1187,8,9,1,0,20,5,9,1,10,5,10,1,11,0
1188,8,11,1,0,18,6,8,6,11,6,10,4,11,1
1189,1,14,1,1,18,6,8,6,14,6,7,6,13,1
1190,4,8,1,0,25,5,9,0,0,5,9,0,0,0
1191,1,12,1,0,19,8,9,7,12,8,9,7,12,1
1192,1,2,1,1,18,0,0,0,0,0,0,0,0,1
1193,4,11,1,0,39,13,14,13,13,12,16,12,14,1
1194,12,4,1,0,29,18,20,18,15,13,13,13,15,1
1195,8,16,1,0,18,7,9,6,11,7,8,7,12,0
1196,4,5,0,0,23,3,3,2,10,6,0,0,0,0
1197,13,16,1,0,21,6,8,4,12,6,13,3,10,0
1198,1,10,0,0,18,6,6,6,14,6,6,6,15,1
1199,4,6,1,0,23,6,7,6,15,6,8,6,16,1
1200,1,8,1,0,18,6,7,6,15,6,7,6,14,1
1201,12,3,1,0,32,6,8,5,13,6,7,6,12,1
1202,12,9,0,0,29,5,8,3,10,5,14,2,14,0
1203,1,10,1,1,20,6,8,5,11,6,8,4,11,1
1204,12,10,0,0,28,6,11,1,13,6,12,0,0,0
1205,4,9,1,0,27,5,9,3,12,5,11,4,13,1
1206,14,12,1,0,22,14,14,12,12,14,14,12,12,1
1207,12,4,1,0,37,6,10,6,12,6,12,6,12,0
1208,4,3,0,0,28,6,12,1,11,6,0,0,0,0
1209,12,4,0,0,43,6,10,4,12,6,13,4,10,0
1210,14,13,0,0,32,7,7,0,0,8,8,0,0,0
1211,8,10,1,1,20,6,11,4,10,6,13,5,11,0
1212,12,12,1,1,35,8,9,8,13,8,9,8,13,1
1213,1,14,1,0,21,5,8,3,13,5,7,4,11,1
1214,1,12,1,1,18,7,9,6,13,7,7,7,12,0
1215,1,12,1,1,18,7,7,7,16,8,9,8,16,1
1216,8,10,1,0,18,6,10,5,12,6,11,4,12,1
1217,15,3,1,0,22,6,6,6,12,6,7,6,13,1
1218,1,12,1,0,19,8,8,7,12,8,8,7,12,1
1219,9,9,1,1,18,5,8,5,13,5,6,5,12,1
1220,1,2,1,0,19,0,0,0,0,0,0,0,0,0
1221,1,12,1,1,18,7,7,7,14,8,9,8,15,1
1222,12,17,0,0,31,5,7,0,0,5,7,0,0,0
1223,12,3,1,1,33,6,9,5,13,6,7,6,12,1
1224,1,12,1,1,19,8,8,8,13,8,8,8,13,1
1225,8,10,1,1,18,6,7,6,15,6,6,6,15,1
1226,1,9,1,0,23,5,8,3,10,5,8,5,11,1
1227,8,10,1,0,20,6,11,5,11,6,6,6,12,1
1228,1,12,1,0,18,8,8,8,13,8,8,8,13,1
1229,17,6,1,0,21,9,10,8,13,9,14,5,12,0
1230,1,10,1,1,22,6,10,5,10,6,10,5,12,1
1231,1,10,1,0,20,6,6,6,12,6,7,6,11,1
1232,4,12,1,0,23,7,8,6,14,7,8,6,14,1
1233,8,15,1,0,19,6,6,6,12,6,6,6,12,1
1234,8,12,1,0,19,8,8,7,13,8,8,7,13,1
1235,12,17,1,0,26,5,9,2,12,5,9,3,11,0
1236,1,12,1,0,18,7,7,7,13,8,9,8,13,1
1237,9,7,1,0,18,5,5,1,16,5,5,0,0,0
1238,15,4,1,0,20,6,8,6,13,6,10,6,13,1
1239,1,14,1,0,19,6,7,0,0,6,6,0,0,0
1240,14,17,0,0,32,9,9,5,11,4,4,4,11,0
1241,12,8,0,0,31,4,12,2,11,5,9,3,11,0
1242,12,7,1,0,25,5,13,1,11,5,11,1,10,0
1243,13,6,1,0,21,6,14,5,13,6,10,5,13,1
1244,14,17,0,0,31,6,10,4,11,5,6,1,10,0
1245,12,16,1,0,34,7,11,1,10,7,7,1,13,0
1246,1,10,1,1,18,6,8,6,13,6,9,6,12,1
1247,1,10,1,0,19,6,0,0,0,6,0,0,0,0
1248,17,14,1,0,21,6,12,1,12,6,11,1,11,0
1249,1,16,0,0,18,6,11,3,13,6,10,5,11,0
1250,1,11,1,0,20,6,7,6,14,6,6,6,16,1
1251,14,15,1,0,20,6,6,6,11,6,7,6,12,1
1252,8,14,1,1,18,6,10,5,12,6,11,5,12,1
1253,1,10,1,0,19,6,11,4,12,6,7,6,11,1
1254,14,6,1,0,19,5,5,0,0,5,7,4,14,0
1255,12,8,1,1,30,6,7,0,0,6,16,1,10,0
1256,8,10,1,0,19,6,6,6,12,6,7,6,12,1
1257,1,13,1,0,19,7,9,7,11,8,8,8,13,1
1258,1,12,1,1,19,8,8,7,13,8,8,7,13,1
1259,1,6,1,0,19,6,7,6,16,6,8,6,15,1
1260,1,10,1,0,20,6,9,5,11,6,7,6,11,1
1261,13,7,1,0,25,5,5,0,0,6,7,2,14,0
1262,1,15,1,0,19,6,0,0,0,6,0,0,0,0
1263,12,16,1,1,34,6,7,6,16,6,10,6,16,1
1264,9,12,1,1,18,8,8,7,11,8,8,7,11,1
1265,1,12,1,1,18,8,8,8,13,8,8,8,13,1
1266,1,14,1,0,20,6,8,6,12,6,10,5,14,1
1267,8,12,1,1,20,8,8,7,12,8,8,7,12,1
1268,17,17,1,0,23,11,18,8,12,9,15,5,12,0
1269,12,14,1,0,28,6,8,1,10,6,9,0,0,0
1270,8,15,1,0,18,6,8,5,12,6,10,6,12,0
1271,14,9,1,0,19,5,5,5,12,5,6,4,12,1
1272,1,9,1,0,34,5,7,2,10,5,6,4,12,0
1273,16,16,1,0,35,7,7,0,0,6,0,0,0,0
1274,4,17,1,0,32,5,7,5,11,5,8,5,12,1
1275,8,11,1,0,19,6,8,6,12,6,6,6,13,1
1276,8,14,1,0,18,6,10,4,13,6,7,5,12,1
1277,12,9,0,0,35,5,8,4,12,5,8,5,11,0
1278,12,3,1,1,24,6,6,4,12,6,10,4,11,0
1279,8,10,1,1,20,6,7,6,11,6,8,6,12,1
1280,1,15,1,1,18,6,7,6,13,6,7,6,13,1
1281,1,12,1,1,20,8,8,7,13,8,8,7,13,1
1282,8,11,0,0,18,6,12,0,0,6,0,0,0,0
1283,1,7,1,1,18,5,6,5,17,5,8,5,18,1
1284,1,14,1,1,20,5,7,4,11,5,7,4,11,1
1285,8,16,1,0,19,7,10,6,13,7,9,6,12,0
1286,1,5,1,1,20,6,9,6,11,6,6,5,13,0
1287,1,10,1,0,19,6,6,6,12,6,8,6,11,1
1288,1,15,1,0,20,6,9,5,12,6,11,4,11,1
1289,1,12,1,0,22,7,8,6,14,8,9,7,13,1
1290,8,7,1,1,18,5,8,4,13,6,10,6,13,0
1291,1,12,1,0,19,8,8,7,14,8,8,7,14,1
1292,15,4,1,0,22,6,15,3,11,6,12,2,10,0
1293,8,7,1,0,20,5,5,5,14,5,5,5,17,1
1294,12,4,0,0,34,6,7,0,0,6,0,0,0,0
1295,12,3,1,0,24,6,14,1,10,5,5,0,0,0
1296,12,14,1,0,26,5,5,0,0,5,5,0,0,0
1297,12,12,1,0,35,7,10,4,12,7,9,5,12,0
1298,1,17,1,0,22,5,9,5,12,5,7,5,11,1
1299,9,11,1,0,26,6,10,4,10,6,11,3,12,0
1300,8,9,1,0,19,5,7,3,12,5,5,0,0,0
1301,1,11,0,0,19,6,0,0,0,6,0,0,0,0
1302,15,2,1,0,20,0,0,0,0,0,0,0,0,1
1303,16,14,1,0,21,11,12,10,12,8,9,8,13,1
1304,1,15,1,1,19,6,7,6,14,6,6,6,15,1
1305,1,15,1,0,18,6,6,6,12,6,7,6,12,1
1306,17,4,1,1,23,12,14,12,14,10,12,10,13,1
1307,8,9,1,1,18,5,5,5,13,5,6,5,12,1
1308,9,12,1,0,18,8,8,7,13,8,8,7,13,1
1309,1,12,1,0,19,8,8,7,11,8,8,7,11,1
1310,17,9,1,0,21,11,17,11,11,9,13,8,12,1
1311,1,6,1,1,18,6,13,6,16,6,8,6,13,1
1312,1,15,1,1,24,6,7,6,13,6,6,6,12,1
1313,1,12,1,0,18,7,8,7,12,8,9,8,13,0
1314,1,14,1,0,18,6,7,6,12,6,10,3,12,0
1315,8,12,1,0,20,7,8,6,14,8,10,7,14,1
1316,8,6,1,0,19,5,13,3,12,5,8,4,11,0
1317,1,15,0,1,18,6,12,3,12,6,15,3,10,0
1318,14,11,1,1,19,6,11,4,12,6,14,3,11,0
1319,8,16,1,0,19,6,10,5,12,6,7,5,11,1
1320,1,10,1,0,18,6,6,6,12,6,6,6,12,1
1321,1,16,1,0,20,7,8,6,13,7,8,6,14,0
1322,1,12,1,1,18,8,8,8,13,8,8,8,13,1
1323,8,13,1,1,19,7,11,6,12,7,8,6,12,1
1324,8,9,1,0,18,5,16,4,10,5,11,2,12,0
1325,1,12,1,0,18,7,7,6,14,7,7,6,14,1
1326,1,6,1,0,21,6,12,4,12,6,13,2,12,0
1327,8,11,0,0,19,6,14,1,10,6,13,0,0,0
1328,1,12,1,0,21,7,8,7,14,8,9,8,14,1
1329,1,6,1,0,18,6,14,4,11,6,17,3,13,0
1330,8,13,1,1,18,7,9,7,12,8,8,8,13,1
1331,1,12,1,0,18,7,7,7,13,8,9,8,13,1
1332,1,8,0,0,23,5,9,0,0,5,10,1,12,0
1333,1,10,1,0,20,6,13,3,11,6,9,4,12,0
1334,1,12,1,0,18,7,7,7,13,8,9,8,13,1
1335,8,16,1,0,19,6,9,5,13,6,8,5,10,0
1336,12,12,1,1,27,7,8,6,12,7,9,6,11,0
1337,8,9,0,1,19,5,5,5,12,5,5,4,12,0
1338,14,8,1,0,21,6,14,5,11,6,13,5,11,0
1339,9,12,1,1,19,8,8,7,11,8,8,7,11,1
1340,15,10,1,1,21,6,6,6,12,6,8,6,11,1
1341,1,15,1,0,18,6,7,5,12,6,10,4,12,1
1342,8,6,1,1,20,5,8,5,12,5,8,4,15,1
1343,1,16,1,1,18,6,8,5,13,6,9,5,13,1
1344,8,5,0,1,18,6,6,6,11,6,8,6,11,0
1345,1,6,1,0,18,6,8,6,14,6,9,6,13,1
1346,8,15,1,1,18,6,6,6,12,6,6,6,13,1
1347,1,12,1,1,19,7,10,5,13,7,7,7,12,0
1348,17,6,0,0,23,11,18,11,13,9,15,8,13,0
1349,12,6,1,1,24,6,7,6,12,6,11,6,12,1
1350,1,2,1,0,19,0,0,0,0,0,0,0,0,1
1351,1,12,1,0,18,8,8,7,15,8,8,7,15,1
1352,1,5,1,0,19,6,6,6,12,6,6,6,11,1
1353,8,16,1,0,19,6,0,0,0,6,0,0,0,0
1354,1,10,1,1,20,6,11,5,10,6,9,5,11,0
1355,1,6,1,0,20,6,10,6,13,6,11,5,12,0
1356,12,15,1,0,26,6,8,4,11,6,12,0,0,0
1357,12,11,0,0,36,5,10,0,0,5,5,0,0,0
1358,8,2,0,0,19,0,0,0,0,0,0,0,0,0
1359,13,7,0,0,27,5,0,0,0,5,0,0,0,0
1360,1,7,1,0,18,5,9,1,13,5,5,0,0,0
1361,1,12,1,1,18,8,8,7,13,8,8,7,13,1
1362,12,5,1,0,28,6,0,0,0,6,0,0,0,0
1363,15,2,1,0,21,0,0,0,0,0,0,0,0,1
